ttf,label_bnc
112,0
98,0
69,0
82,0
91,0
93,0
91,0
95,0
111,0
96,0
97,0
124,0
95,0
107,0
83,0
84,0
50,0
28,1
87,0
16,1
57,0
111,0
113,0
20,1
145,0
119,0
66,0
97,0
90,0
115,0
8,1
48,0
106,0
7,1
11,1
19,1
21,1
50,0
142,0
28,1
18,1
10,1
59,0
109,0
114,0
47,0
135,0
92,0
21,1
79,0
114,0
29,1
26,1
97,0
137,0
15,1
103,0
37,0
114,0
100,0
21,1
54,0
72,0
28,1
128,0
14,1
77,0
8,1
121,0
94,0
118,0
50,0
131,0
126,0
113,0
10,1
34,0
107,0
63,0
90,0
8,1
9,1
137,0
58,0
118,0
89,0
116,0
115,0
136,0
28,1
38,0
20,1
85,0
55,0
128,0
137,0
82,0
59,0
117,0
20,1
